# ----------------------------------------
# Corp Site Adult Learner
# Copy of CET Campaign Results-Free form 1
# 20241201-20241231
# ----------------------------------------

,Segment,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Page path and screen class,First user campaign,Total users,New users,Active users,Returning users,Views,Sessions,Views per session,Average session duration,Bounce rate,Exits,Total users,New users,Active users,Returning users,Views,Sessions,Views per session,Average session duration,Bounce rate,Exits
,,13088,11641,12943,3338,58292,19669,2.9636483807005947,260.5327474517261,0.29833748538309013,18131,13088,11641,12943,3338,58292,19669,2.9636483807005947,260.5327474517261,0.29833748538309013,18131,Grand total
/adult-learner/find-a-course,(organic),2351,71,2343,765,5975,3055,1.955810147299509,156.44914831554829,0.10081833060556465,1180,2351,71,2343,765,5975,3055,1.955810147299509,156.44914831554829,0.10081833060556465,1180
/adult-learner,(direct),1955,1145,1935,513,3391,2559,1.3251270027354436,123.84288236811253,0.18014849550605705,1158,1955,1145,1935,513,3391,2559,1.3251270027354436,123.84288236811253,0.18014849550605705,1158
/adult-learner/find-a-course,(direct),1713,345,1709,450,4964,2319,2.1405778352738247,152.54193430746008,0.12979732643380767,983,1713,345,1709,450,4964,2319,2.1405778352738247,152.54193430746008,0.12979732643380767,983
/adult-learner/course-types/part-time-diplomas-certificates,(organic),1382,859,1378,371,1957,1733,1.1292556260819389,89.16520951125217,0.11482977495672245,362,1382,859,1378,371,1957,1733,1.1292556260819389,89.16520951125217,0.11482977495672245,362
/adult-learner,(organic),1344,210,1299,534,2129,1662,1.2809867629362215,104.62120848194947,0.14259927797833935,631,1344,210,1299,534,2129,1662,1.2809867629362215,104.62120848194947,0.14259927797833935,631
/adult-learner/course-types/recommended/business,2025S1-sbm-acet,1048,1044,1046,58,1343,1137,1.18117854001759,55.78599819525067,0.3562005277044855,777,1048,1044,1046,58,1343,1137,1.18117854001759,55.78599819525067,0.3562005277044855,777
/adult-learner/course-types/post-diploma-programmes,(organic),739,337,736,200,1116,828,1.3478260869565217,60.16584456280194,0.09178743961352658,183,739,337,736,200,1116,828,1.3478260869565217,60.16584456280194,0.09178743961352658,183
/adult-learner/course-types/part-time-diplomas-certificates,(direct),524,80,523,160,689,627,1.098883572567783,76.32306059489633,0.13237639553429026,142,524,80,523,160,689,627,1.098883572567783,76.32306059489633,0.13237639553429026,142
/adult-learner,(not set),469,443,466,47,648,535,1.2112149532710281,744.5641070429906,0.44485981308411215,353,469,443,466,47,648,535,1.2112149532710281,744.5641070429906,0.44485981308411215,353
/adult-learner/course-types/short-courses,(organic),441,185,440,124,603,502,1.201195219123506,104.89375351593627,0.08366533864541832,146,441,185,440,124,603,502,1.201195219123506,104.89375351593627,0.08366533864541832,146
/adult-learner/course-detail/NYP-HSDP01/diploma-in-health-sciences-paramedicine,(organic),435,280,431,101,634,538,1.178438661710037,137.1289920966543,0.20446096654275092,414,435,280,431,101,634,538,1.178438661710037,137.1289920966543,0.20446096654275092,414
/adult-learner/course-types/work-study-post-diplomas,(organic),372,227,365,108,566,442,1.2805429864253393,151.63353069909502,0.17647058823529413,181,372,227,365,108,566,442,1.2805429864253393,151.63353069909502,0.17647058823529413,181
/adult-learner/course-types/short-courses,(direct),338,14,336,93,457,392,1.1658163265306123,90.46458790051021,0.0663265306122449,87,338,14,336,93,457,392,1.1658163265306123,90.46458790051021,0.0663265306122449,87
/adult-learner/course-types/recommended/digital-economy,(direct),264,38,264,44,313,293,1.068259385665529,46.79911644027304,0.1296928327645051,57,264,38,264,44,313,293,1.068259385665529,46.79911644027304,0.1296928327645051,57
/adult-learner/course-types/post-diploma-programmes,(direct),257,17,257,104,387,312,1.2403846153846154,61.1093768397436,0.05448717948717949,41,257,17,257,104,387,312,1.2403846153846154,61.1093768397436,0.05448717948717949,41
/adult-learner/course-types/post-diploma-programmes/health-social-sciences,(organic),245,12,245,60,331,257,1.2879377431906616,31.492135910505837,0.01556420233463035,21,245,12,245,60,331,257,1.2879377431906616,31.492135910505837,0.01556420233463035,21
/adult-learner/course-detail/NYP-BMSP13/specialist-diploma-in-human-resource-management,(organic),226,142,226,75,305,287,1.0627177700348431,197.30024586411153,0.1951219512195122,214,226,142,226,75,305,287,1.0627177700348431,197.30024586411153,0.1951219512195122,214
/adult-learner/course-types/recommended/artificial-intelligence,(organic),214,190,211,29,298,247,1.2064777327935223,125.50606608502024,0.20242914979757085,113,214,190,211,29,298,247,1.2064777327935223,125.50606608502024,0.20242914979757085,113
/adult-learner/course-types/post-diploma-programmes/information-technology,(organic),208,4,207,62,287,236,1.2161016949152543,63.07849622881356,0.059322033898305086,40,208,4,207,62,287,236,1.2161016949152543,63.07849622881356,0.059322033898305086,40
/adult-learner/course-types/career-transition-conversion-programmes,(organic),194,74,194,66,266,223,1.1928251121076232,74.04881858744395,0.08968609865470852,51,194,74,194,66,266,223,1.1928251121076232,74.04881858744395,0.08968609865470852,51
/adult-learner/course-types/recommended/care-economy,(direct),184,8,184,28,220,192,1.1458333333333333,14.520593822916666,0.020833333333333332,34,184,8,184,28,220,192,1.1458333333333333,14.520593822916666,0.020833333333333332,34
/adult-learner/course-detail/NYP-BMDP04/diploma-in-business-practice-customer-relationship-and-service-management,(organic),180,34,180,72,274,234,1.170940170940171,160.28341632905983,0.1282051282051282,150,180,34,180,72,274,234,1.170940170940171,160.28341632905983,0.1282051282051282,150
/adult-learner/course-detail/NYP-CLSP06/specialist-diploma-in-nutrition-science,(organic),173,102,171,45,227,214,1.060747663551402,131.02634629439254,0.205607476635514,155,173,102,171,45,227,214,1.060747663551402,131.02634629439254,0.205607476635514,155
/adult-learner/course-types/work-study-certificates,(organic),171,49,170,60,247,210,1.1761904761904762,114.30488921904762,0.08095238095238096,50,171,49,170,60,247,210,1.1761904761904762,114.30488921904762,0.08095238095238096,50
/adult-learner/course-types/post-diploma-programmes/business-management,(organic),168,4,168,54,227,179,1.2681564245810055,81.77449822346368,0.0223463687150838,34,168,4,168,54,227,179,1.2681564245810055,81.77449822346368,0.0223463687150838,34
/adult-learner/find-a-course,(referral),164,34,164,46,545,247,2.2064777327935223,171.1032909959514,0.12955465587044535,105,164,34,164,46,545,247,2.2064777327935223,171.1032909959514,0.12955465587044535,105
/adult-learner/course-detail/NYP-BMDP05/diploma-in-business-practice-accounting,(organic),160,43,160,66,241,215,1.1209302325581396,137.2411586930233,0.15813953488372093,136,160,43,160,66,241,215,1.1209302325581396,137.2411586930233,0.15813953488372093,136
/adult-learner/course-detail/NYP-ITSP09/specialist-diploma-in-business-and-big-data-analytics,(organic),160,82,159,48,203,203,1,123.21674509359607,0.2413793103448276,114,160,82,159,48,203,203,1,123.21674509359607,0.2413793103448276,114
/adult-learner/course-detail/NYP-HSAF42/advanced-diploma-in-nursing-medical-surgical-adms1,(organic),156,105,156,32,229,187,1.2245989304812834,74.48002173262033,0.1925133689839572,92,156,105,156,32,229,187,1.2245989304812834,74.48002173262033,0.1925133689839572,92
/adult-learner/course-detail/NYP-ITDP04/diploma-in-infocomm-and-digital-media-it-network-and-system-administration-dinsa2,(organic),149,21,146,43,208,178,1.1685393258426966,98.75907980337078,0.07303370786516854,102,149,21,146,43,208,178,1.1685393258426966,98.75907980337078,0.07303370786516854,102
/adult-learner/course-types/recommended/digital-economy,(organic),146,2,146,46,181,167,1.0838323353293413,66.32222573652695,0.041916167664670656,26,146,2,146,46,181,167,1.0838323353293413,66.32222573652695,0.041916167664670656,26
/adult-learner/course-detail/NYP-BMDP06/diploma-in-business-practice-supply-chain-management,(organic),145,28,144,53,187,177,1.0564971751412429,153.83748257627116,0.11864406779661017,101,145,28,144,53,187,177,1.0564971751412429,153.83748257627116,0.11864406779661017,101
/adult-learner/course-types/post-diploma-programmes/applied-science,(organic),145,4,145,55,209,162,1.2901234567901234,46.46145993209877,0.024691358024691357,27,145,4,145,55,209,162,1.2901234567901234,46.46145993209877,0.024691358024691357,27
/adult-learner/course-types/post-diploma-programmes/engineering,(organic),144,1,144,57,189,165,1.1454545454545455,56.513146218181824,0.030303030303030304,29,144,1,144,57,189,165,1.1454545454545455,56.513146218181824,0.030303030303030304,29
/adult-learner/course-detail/NYP-ITSP08/specialist-diploma-in-cybersecurity,(organic),142,72,142,42,183,170,1.076470588235294,133.98651806470588,0.2,110,142,72,142,42,183,170,1.076470588235294,133.98651806470588,0.2,110
/adult-learner,(referral),139,63,136,35,281,239,1.1757322175732217,421.4511641715481,0.25523012552301255,125,139,63,136,35,281,239,1.1757322175732217,421.4511641715481,0.25523012552301255,125
/adult-learner/course-types/post-diploma-programmes/business-management,(direct),132,12,132,43,188,167,1.125748502994012,40.67884429940119,0.03592814371257485,27,132,12,132,43,188,167,1.125748502994012,40.67884429940119,0.03592814371257485,27
/adult-learner/course-types/recommended/green-economy,(direct),130,35,130,26,161,148,1.087837837837838,48.88191421621622,0.12162162162162163,40,130,35,130,26,161,148,1.087837837837838,48.88191421621622,0.12162162162162163,40
/adult-learner/find-a-course,(not set),129,6,129,40,409,166,2.463855421686747,184.46307004216868,0.07228915662650602,64,129,6,129,40,409,166,2.463855421686747,184.46307004216868,0.07228915662650602,64
/adult-learner/funding/incentives,(direct),123,17,123,30,155,141,1.099290780141844,49.81628930496454,0.09929078014184398,66,123,17,123,30,155,141,1.099290780141844,49.81628930496454,0.09929078014184398,66
/adult-learner/course-types/career-transition-conversion-programmes,(direct),119,9,119,33,157,137,1.145985401459854,54.2090223649635,0.058394160583941604,23,119,9,119,33,157,137,1.145985401459854,54.2090223649635,0.058394160583941604,23
/adult-learner/course-types/work-study-post-diplomas,(direct),119,20,117,42,170,143,1.1888111888111887,108.7586402867133,0.16083916083916083,50,119,20,117,42,170,143,1.1888111888111887,108.7586402867133,0.16083916083916083,50
/adult-learner/course-detail/NYP-HSSP18/specialist-diploma-in-nursing-gerontology,(organic),116,41,116,27,159,136,1.1691176470588236,108.94138514705882,0.08088235294117647,80,116,41,116,27,159,136,1.1691176470588236,108.94138514705882,0.08088235294117647,80
/adult-learner/course-types/post-diploma-programmes/information-technology,(direct),115,5,115,35,147,131,1.1221374045801527,39.152562282442744,0.07633587786259542,22,115,5,115,35,147,131,1.1221374045801527,39.152562282442744,0.07633587786259542,22
/adult-learner/course-detail/NYP-EGDP06/diploma-in-engineering-electronic-and-digital-engineering,(organic),111,17,111,43,153,141,1.0851063829787233,99.43655459574468,0.14893617021276595,72,111,17,111,43,153,141,1.0851063829787233,99.43655459574468,0.14893617021276595,72
/adult-learner/course-detail/NYP-HSAF21/advanced-diploma-in-nursing-midwifery,(organic),111,64,110,24,159,133,1.1954887218045114,112.7802110225564,0.22556390977443608,102,111,64,110,24,159,133,1.1954887218045114,112.7802110225564,0.22556390977443608,102
/adult-learner/course-types/post-diploma-programmes/engineering,(direct),110,12,109,39,126,123,1.024390243902439,59.752064699186995,0.06504065040650407,32,110,12,109,39,126,123,1.024390243902439,59.752064699186995,0.06504065040650407,32
/adult-learner/course-types/recommended/care-economy,(organic),110,2,110,31,146,123,1.1869918699186992,13.456452569105691,0.06504065040650407,22,110,2,110,31,146,123,1.1869918699186992,13.456452569105691,0.06504065040650407,22
/adult-learner/course-types/recommended/business,(direct),107,33,105,29,162,124,1.3064516129032258,143.5333135967742,0.16129032258064516,65,107,33,105,29,162,124,1.3064516129032258,143.5333135967742,0.16129032258064516,65
/adult-learner/course-types/post-diploma-programmes/applied-science,(direct),105,15,105,19,113,108,1.0462962962962963,21.981677064814814,0.07407407407407407,20,105,15,105,19,113,108,1.0462962962962963,21.981677064814814,0.07407407407407407,20
/adult-learner/course-detail/NYP-ITSP12/specialist-diploma-in-applied-artificial-intelligence,(organic),102,1,102,42,134,130,1.0307692307692307,148.61984110769228,0.08461538461538462,63,102,1,102,42,134,130,1.0307692307692307,148.61984110769228,0.08461538461538462,63
/adult-learner/course-types/recommended/business,(organic),102,3,98,78,158,121,1.3057851239669422,183.18601290082643,0.11570247933884298,56,102,3,98,78,158,121,1.3057851239669422,183.18601290082643,0.11570247933884298,56
/adult-learner/course-detail/NYP-BMSP21/specialist-diploma-in-hr-analytics-and-digitalisation,(organic),101,28,100,46,159,145,1.096551724137931,151.1099959724138,0.2206896551724138,88,101,28,100,46,159,145,1.096551724137931,151.1099959724138,0.2206896551724138,88
/adult-learner/course-detail/NYP-EGDP07/diploma-in-engineering-public-transport-operations,(organic),100,15,100,34,130,118,1.1016949152542372,99.4219337881356,0.1016949152542373,63,100,15,100,34,130,118,1.1016949152542372,99.4219337881356,0.1016949152542373,63
/adult-learner/course-types/post-diploma-programmes/design-media,(organic),100,1,100,39,128,108,1.1851851851851851,54.37114278703703,0.018518518518518517,25,100,1,100,39,128,108,1.1851851851851851,54.37114278703703,0.018518518518518517,25
/adult-learner/course-detail/NYP-BMDP07/diploma-in-business-practice-hospitality-and-tourism-management,(organic),99,6,99,28,121,115,1.0521739130434782,78.34893267826088,0.05217391304347826,55,99,6,99,28,121,115,1.0521739130434782,78.34893267826088,0.05217391304347826,55
/adult-learner/course-detail/NYP-BMSP15/specialist-diploma-in-supply-chain-management,(organic),95,61,95,32,132,114,1.1578947368421053,124.24410907894736,0.14035087719298245,80,95,61,95,32,132,114,1.1578947368421053,124.24410907894736,0.14035087719298245,80
/adult-learner/course-types/post-diploma-programmes/health-social-sciences,(direct),95,11,95,26,117,103,1.1359223300970873,32.335844,0.038834951456310676,11,95,11,95,26,117,103,1.1359223300970873,32.335844,0.038834951456310676,11
/adult-learner/course-detail/NYP-BMSP16/specialist-diploma-in-fund-management-and-administration,(organic),93,53,93,27,128,119,1.0756302521008403,171.15822405882352,0.23529411764705882,85,93,53,93,27,128,119,1.0756302521008403,171.15822405882352,0.23529411764705882,85
/adult-learner/course-detail/NYP-BMDP05/diploma-in-business-practice-accounting,(direct),91,15,89,25,127,114,1.1140350877192982,107.36971537719297,0.17543859649122806,64,91,15,89,25,127,114,1.1140350877192982,107.36971537719297,0.17543859649122806,64
