# ----------------------------------------
# Corp Site Adult Learner
# Copy of CET Campaign Results-Free form 1
# 20241201-20241231
# ----------------------------------------

Segment,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Page path and screen class,Total users,New users,Active users,Returning users,Views,Sessions,Views per session,Average session duration,Bounce rate,Exits,Total users,New users,Active users,Returning users,Views,Sessions,Views per session,Average session duration,Bounce rate,Exits
,13088,11641,12943,3338,58292,19669,2.9636483807005947,260.5327474517267,0.29833748538309013,18131,13088,11641,12943,3338,58292,19669,2.9636483807005947,260.5327474517267,0.29833748538309013,18131,Grand total
/adult-learner/find-a-course,4511,491,4496,1332,12287,6121,2.0073517399117793,150.89577913167784,0.11942493056690083,2429,4511,491,4496,1332,12287,6121,2.0073517399117793,150.89577913167784,0.11942493056690083,2429
/adult-learner,4014,1881,3940,1153,6627,5189,1.277124686837541,193.48201990653305,0.19734052804008478,2330,4014,1881,3940,1153,6627,5189,1.277124686837541,193.48201990653305,0.19734052804008478,2330
/adult-learner/course-types/part-time-diplomas-certificates,2075,987,2070,574,2914,2592,1.1242283950617284,89.74469419984568,0.11612654320987655,557,2075,987,2070,574,2914,2592,1.1242283950617284,89.74469419984568,0.11612654320987655,557
/adult-learner/course-types/recommended/business,1303,1090,1296,196,1834,1474,1.2442333785617368,85.55960791791044,0.31275440976933516,957,1303,1090,1296,196,1834,1474,1.2442333785617368,85.55960791791044,0.31275440976933516,957
/adult-learner/course-types/post-diploma-programmes,1070,357,1067,329,1634,1243,1.3145615446500403,63.69541770233307,0.07723250201126307,239,1070,357,1067,329,1634,1243,1.3145615446500403,63.69541770233307,0.07723250201126307,239
/adult-learner/course-types/short-courses,863,206,860,239,1188,995,1.1939698492462312,96.29036787738694,0.0743718592964824,259,863,206,860,239,1188,995,1.1939698492462312,96.29036787738694,0.0743718592964824,259
/adult-learner/course-types/work-study-post-diplomas,594,319,583,172,879,712,1.2345505617977528,128.0573959494382,0.1797752808988764,284,594,319,583,172,879,712,1.2345505617977528,128.0573959494382,0.1797752808988764,284
/adult-learner/course-detail/NYP-HSDP01/diploma-in-health-sciences-paramedicine,533,299,528,125,758,646,1.173374613003096,140.19675984210525,0.18885448916408668,469,533,299,528,125,758,646,1.173374613003096,140.19675984210525,0.18885448916408668,469
/adult-learner/course-types/recommended/digital-economy,469,40,469,101,571,529,1.0793950850661627,55.55585787334594,0.08506616257088846,87,469,40,469,101,571,529,1.0793950850661627,55.55585787334594,0.08506616257088846,87
/adult-learner/course-detail/NYP-BMSP13/specialist-diploma-in-human-resource-management,383,164,383,123,520,486,1.0699588477366255,165.80944892592592,0.1748971193415638,326,383,164,383,123,520,486,1.0699588477366255,165.80944892592592,0.1748971193415638,326
/adult-learner/course-types/post-diploma-programmes/health-social-sciences,359,24,359,91,472,382,1.2356020942408377,30.926604170157066,0.020942408376963352,34,359,24,359,91,472,382,1.2356020942408377,30.926604170157066,0.020942408376963352,34
/adult-learner/course-types/career-transition-conversion-programmes,346,85,346,114,481,410,1.173170731707317,72.28328006097561,0.07560975609756097,83,346,85,346,114,481,410,1.173170731707317,72.28328006097561,0.07560975609756097,83
/adult-learner/course-types/post-diploma-programmes/information-technology,339,9,338,103,452,384,1.1770833333333333,55.3123053359375,0.0625,63,339,9,338,103,452,384,1.1770833333333333,55.3123053359375,0.0625,63
/adult-learner/course-detail/NYP-BMDP05/diploma-in-business-practice-accounting,331,66,329,106,460,415,1.108433734939759,121.10619659036144,0.13975903614457832,259,331,66,329,106,460,415,1.108433734939759,121.10619659036144,0.13975903614457832,259
/adult-learner/course-types/recommended/care-economy,327,10,327,66,409,350,1.1685714285714286,19.161807694285717,0.04,66,327,10,327,66,409,350,1.1685714285714286,19.161807694285717,0.04,66
/adult-learner/course-types/post-diploma-programmes/business-management,321,16,321,104,440,369,1.1924119241192412,61.48604236856368,0.02981029810298103,62,321,16,321,104,440,369,1.1924119241192412,61.48604236856368,0.02981029810298103,62
/adult-learner/course-detail/NYP-BMDP04/diploma-in-business-practice-customer-relationship-and-service-management,289,39,288,105,449,398,1.1281407035175879,126.1344806758794,0.14824120603015076,240,289,39,288,105,449,398,1.1281407035175879,126.1344806758794,0.14824120603015076,240
/adult-learner/course-types/work-study-certificates,280,64,279,95,388,337,1.1513353115727003,96.96706333827893,0.08011869436201781,83,280,64,279,95,388,337,1.1513353115727003,96.96706333827893,0.08011869436201781,83
/adult-learner/course-types/recommended/artificial-intelligence,274,205,271,44,371,321,1.1557632398753894,123.96315104672897,0.19314641744548286,129,274,205,271,44,371,321,1.1557632398753894,123.96315104672897,0.19314641744548286,129
/adult-learner/course-types/post-diploma-programmes/engineering,273,14,272,101,334,307,1.0879478827361564,58.475849954397404,0.04234527687296417,62,273,14,272,101,334,307,1.0879478827361564,58.475849954397404,0.04234527687296417,62
/adult-learner/course-types/post-diploma-programmes/applied-science,260,19,260,79,340,283,1.2014134275618376,41.91591867491166,0.04946996466431095,49,260,19,260,79,340,283,1.2014134275618376,41.91591867491166,0.04946996466431095,49
/adult-learner/course-detail/NYP-BMDP06/diploma-in-business-practice-supply-chain-management,250,45,249,78,325,297,1.0942760942760943,124.67114158585859,0.10437710437710437,152,250,45,249,78,325,297,1.0942760942760943,124.67114158585859,0.10437710437710437,152
/adult-learner/course-detail/NYP-ITSP09/specialist-diploma-in-business-and-big-data-analytics,241,101,239,75,301,302,0.9966887417218543,110.64486407615894,0.2251655629139073,166,241,101,239,75,301,302,0.9966887417218543,110.64486407615894,0.2251655629139073,166
/adult-learner/course-detail/NYP-BMSP21/specialist-diploma-in-hr-analytics-and-digitalisation,240,56,238,82,347,320,1.084375,121.59759328125001,0.1875,178,240,56,238,82,347,320,1.084375,121.59759328125001,0.1875,178
/adult-learner/course-detail/NYP-CLSP06/specialist-diploma-in-nutrition-science,234,110,231,57,296,280,1.0571428571428572,118.24581726785715,0.17857142857142858,178,234,110,231,57,296,280,1.0571428571428572,118.24581726785715,0.17857142857142858,178
/adult-learner/course-types/recommended/green-economy,233,45,233,64,301,275,1.0945454545454545,53.77898,0.08727272727272728,68,233,45,233,64,301,275,1.0945454545454545,53.77898,0.08727272727272728,68
/adult-learner/course-detail/NYP-ITDP04/diploma-in-infocomm-and-digital-media-it-network-and-system-administration-dinsa2,228,40,225,64,311,271,1.1476014760147601,110.65252005166052,0.07749077490774908,138,228,40,225,64,311,271,1.1476014760147601,110.65252005166052,0.07749077490774908,138
/adult-learner/funding/incentives,224,36,223,68,288,258,1.1162790697674418,67.71076900775195,0.09689922480620156,124,224,36,223,68,288,258,1.1162790697674418,67.71076900775195,0.09689922480620156,124
/adult-learner/course-detail/NYP-BMDP07/diploma-in-business-practice-hospitality-and-tourism-management,213,20,213,52,246,243,1.0123456790123457,71.76653929218108,0.08641975308641975,109,213,20,213,52,246,243,1.0123456790123457,71.76653929218108,0.08641975308641975,109
/adult-learner/course-detail/NYP-ITSP08/specialist-diploma-in-cybersecurity,209,86,209,62,278,249,1.1164658634538152,117.09075704819276,0.18875502008032127,146,209,86,209,62,278,249,1.1164658634538152,117.09075704819276,0.18875502008032127,146
/adult-learner/course-detail/NYP-BMSP16/specialist-diploma-in-fund-management-and-administration,203,67,203,51,271,243,1.1152263374485596,128.0689959382716,0.16049382716049382,142,203,67,203,51,271,243,1.1152263374485596,128.0689959382716,0.16049382716049382,142
/adult-learner/course-detail/NYP-ITSP12/specialist-diploma-in-applied-artificial-intelligence,203,6,203,80,295,281,1.0498220640569396,142.23491073665483,0.10320284697508897,133,203,6,203,80,295,281,1.0498220640569396,142.23491073665483,0.10320284697508897,133
/adult-learner/course-detail/NYP-EGDP07/diploma-in-engineering-public-transport-operations,196,74,196,45,243,219,1.1095890410958904,68.67989631506849,0.1780821917808219,114,196,74,196,45,243,219,1.1095890410958904,68.67989631506849,0.1780821917808219,114
/adult-learner/course-detail/NYP-HSAF42/advanced-diploma-in-nursing-medical-surgical-adms1,190,114,190,37,272,225,1.208888888888889,65.52073137333333,0.17777777777777778,104,190,114,190,37,272,225,1.208888888888889,65.52073137333333,0.17777777777777778,104
/adult-learner/course-types/post-diploma-programmes/design-media,190,12,190,57,236,207,1.1400966183574879,59.79064262801932,0.033816425120772944,42,190,12,190,57,236,207,1.1400966183574879,59.79064262801932,0.033816425120772944,42
/adult-learner/course-detail/NYP-EGDP06/diploma-in-engineering-electronic-and-digital-engineering,182,30,181,57,242,222,1.09009009009009,86.0719303063063,0.13513513513513514,102,182,30,181,57,242,222,1.09009009009009,86.0719303063063,0.13513513513513514,102
/adult-learner/course-detail/NYP-BMSP15/specialist-diploma-in-supply-chain-management,177,71,176,58,232,217,1.0691244239631337,101.45492567281106,0.16129032258064516,125,177,71,176,58,232,217,1.0691244239631337,101.45492567281106,0.16129032258064516,125
/adult-learner/funding/financial-matters-assistance,173,60,168,68,234,200,1.17,106.005672165,0.245,134,173,60,168,68,234,200,1.17,106.005672165,0.245,134
